cpu name =I7_5960X based on Haswell micro arch - Haswell-E decline - 4th generation Intel Core
 colidx: add:              6329472 size:           3042000084
 a: add:          15246329968 size:           6084000168
 x: add:          21330330136 size:             12000016
 z: add:          21342330152 size:             12000016
 p: add:          21354330168 size:             12000016
 r: add:          21378330200 size:             12000016
 q: add:          21366330184 size:             12000016
loc(sm) = 0x4fd980e00	loc(add)=0x7fff01979948


 NAS Parallel Benchmarks 3.3 -- CG Benchmark

 Size:    1500000
 Iterations:   100
 Number of active processes:     1
 Number of nonzeroes per row:       21
 Eigenvalue shift: .500E+03
 sampling_check =            0
 sampling_check =            1
 Phase 1: 
loc(sm) = 0x4fd980e00

Starting memory sampling
fd_per_tid = 13
measure->nb_threads=1
33333333fd_per_tid = 13
sm = 0x4fd980e00
stop loc(add)0x4fd980e00

Memory read sampling results
pc=402936, @=15288513432, src level=LFB Hit, latency=100
pc=402942, @=140733220095368, src level=L1 Hit, latency=295
pc=402942, @=140733220095368, src level=L1 Hit, latency=106
pc=402942, @=140733220095368, src level=L1 Hit, latency=316
pc=40293c, @=21360148096, src level=L3 Hit, latency=51
pc=40293c, @=21361230320, src level=L3 Hit, latency=63
pc=40293c, @=21356977144, src level=L3 Hit, latency=54
pc=40293c, @=21359572288, src level=L3 Hit, latency=46
pc=402942, @=140733220095368, src level=L1 Hit, latency=286
pc=402942, @=140733220095368, src level=L1 Hit, latency=187
pc=402936, @=15291977664, src level=LFB Hit, latency=80
pc=402936, @=15292301360, src level=LFB Hit, latency=209
pc=402936, @=15292638312, src level=LFB Hit, latency=38
pc=402942, @=140733220095368, src level=L1 Hit, latency=155
pc=402936, @=15293317544, src level=LFB Hit, latency=88
pc=402942, @=140733220095368, src level=L1 Hit, latency=120
pc=402936, @=15293990488, src level=LFB Hit, latency=62
pc=402942, @=140733220095368, src level=L1 Hit, latency=137
pc=402942, @=140733220095368, src level=L1 Hit, latency=193
pc=402942, @=140733220095368, src level=L1 Hit, latency=156
pc=402936, @=15295396160, src level=LFB Hit, latency=101
pc=40293c, @=21356376712, src level=L3 Hit, latency=36
pc=402942, @=140733220095368, src level=L1 Hit, latency=131
pc=402942, @=140733220095368, src level=L1 Hit, latency=242
pc=40293c, @=21361821104, src level=L3 Hit, latency=59
pc=402942, @=140733220095368, src level=L1 Hit, latency=191
pc=40293c, @=21357672208, src level=L3 Hit, latency=49
pc=402942, @=140733220095368, src level=L1 Hit, latency=225
pc=402942, @=140733220095368, src level=L1 Hit, latency=227
pc=402936, @=15298562344, src level=LFB Hit, latency=304
pc=402936, @=15298906864, src level=LFB Hit, latency=254
pc=402936, @=15299253424, src level=LFB Hit, latency=116
pc=402932, @=32960276, src level=LFB Hit, latency=360
pc=40293c, @=21354769352, src level=L3 Hit, latency=42
pc=402936, @=15300292016, src level=LFB Hit, latency=336
pc=40293c, @=21365830400, src level=L3 Hit, latency=38
pc=402942, @=140733220095368, src level=L1 Hit, latency=113
pc=40293c, @=21357350992, src level=L3 Hit, latency=38
pc=402936, @=15301681056, src level=LFB Hit, latency=87
pc=402942, @=140733220095368, src level=L1 Hit, latency=142
pc=40293c, @=21363069392, src level=L3 Hit, latency=53
pc=402942, @=140733220095368, src level=L1 Hit, latency=346
pc=402932, @=34686532, src level=LFB Hit, latency=349
pc=40293c, @=21363531272, src level=L3 Hit, latency=52
pc=402942, @=140733220095368, src level=L1 Hit, latency=397
pc=40293c, @=21364081688, src level=L3 Hit, latency=47
pc=402942, @=140733220095368, src level=L1 Hit, latency=140
pc=402942, @=140733220095368, src level=L1 Hit, latency=146
pc=40293c, @=21364256768, src level=L3 Hit, latency=52
pc=402942, @=140733220095368, src level=L1 Hit, latency=142
pc=402942, @=140733220095368, src level=L1 Hit, latency=184
pc=402936, @=15306158480, src level=LFB Hit, latency=136
