cpu name =I7_5960X based on Haswell micro arch - Haswell-E decline - 4th generation Intel Core
 colidx: add:              6329472 size:           3042000084
 a: add:          15246329968 size:           6084000168
 x: add:          21330330136 size:             12000016
 z: add:          21342330152 size:             12000016
 p: add:          21354330168 size:             12000016
 r: add:          21378330200 size:             12000016
 q: add:          21366330184 size:             12000016
loc(sm) = 0x4fd694e20	loc(add)=0x7ffcc49631a8


 NAS Parallel Benchmarks 3.3 -- CG Benchmark

 Size:    1500000
 Iterations:   100
 Number of active processes:     1
 Number of nonzeroes per row:       21
 Eigenvalue shift: .500E+03
 sampling_check =            0
 sampling_check =            1
 Phase 1: 
loc(sm) = 0x4fd694e20

Starting memory sampling
fd_per_tid = 13
measure->nb_threads=1
33333333fd_per_tid = 13
sm = 0x4fd694e20
stop loc(add)0x4fd694e20

Memory read sampling results
pc=402936, @=15345050232, src level=LFB Hit, latency=174
pc=40293c, @=21362577320, src level=L3 Hit, latency=45
pc=402942, @=140723606658536, src level=L1 Hit, latency=153
pc=402932, @=56257792, src level=Remote RAM 1 hop Hit, latency=406
pc=40293c, @=21357015040, src level=L3 Hit, latency=88
pc=402942, @=140723606658536, src level=L1 Hit, latency=376
pc=402942, @=140723606658536, src level=L1 Hit, latency=420
pc=402936, @=15347674072, src level=LFB Hit, latency=289
pc=402936, @=15348034528, src level=LFB Hit, latency=402
pc=40293c, @=21363025576, src level=L3 Hit, latency=58
pc=40293c, @=21360741568, src level=L3 Hit, latency=48
pc=40293c, @=21364988176, src level=L3 Hit, latency=50
pc=402936, @=15349561424, src level=LFB Hit, latency=98
pc=402942, @=140723606658536, src level=L1 Hit, latency=178
pc=40293c, @=21363982424, src level=L3 Hit, latency=51
pc=402936, @=15350699176, src level=LFB Hit, latency=276
pc=402936, @=15351085072, src level=LFB Hit, latency=263
pc=402942, @=140723606658536, src level=L1 Hit, latency=355
pc=402936, @=15351825328, src level=LFB Hit, latency=99
pc=40293c, @=21363420832, src level=L3 Hit, latency=68
pc=402942, @=140723606658536, src level=L1 Hit, latency=247
pc=402942, @=140723606658536, src level=L1 Hit, latency=141
pc=40293c, @=21355795064, src level=L3 Hit, latency=52
pc=402936, @=15353708176, src level=LFB Hit, latency=221
pc=402942, @=140723606658536, src level=L1 Hit, latency=129
pc=402936, @=15354459192, src level=LFB Hit, latency=168
pc=402942, @=140723606658536, src level=L1 Hit, latency=154
pc=40293c, @=21363993216, src level=L3 Hit, latency=72
pc=40293c, @=21364192752, src level=L3 Hit, latency=49
pc=402942, @=140723606658536, src level=L1 Hit, latency=289
pc=402942, @=140723606658536, src level=L1 Hit, latency=154
pc=40293c, @=21366213640, src level=L3 Hit, latency=44
pc=402942, @=140723606658536, src level=L1 Hit, latency=156
pc=40293c, @=21357700088, src level=L3 Hit, latency=56
pc=402942, @=140723606658536, src level=L1 Hit, latency=148
