cpu name =I7_5960X based on Haswell micro arch - Haswell-E decline - 4th generation Intel Core
 colidx: add:              6329472 size:            163800060
 a: add:            828329824 size:            327600120
 x: add:           1155929944 size:              1200016
 z: add:           1157129960 size:              1200016
 p: add:           1158329976 size:              1200016
 r: add:           1160730008 size:              1200016
 q: add:           1159529992 size:              1200016
loc(sm) = 0x45853e00	loc(add)=0x7ffd0d3c10a8


 NAS Parallel Benchmarks 3.3 -- CG Benchmark

 Size:     150000
 Iterations:    75
 Number of active processes:     1
 Number of nonzeroes per row:       15
 Eigenvalue shift: .110E+03
 sampling_check =            0
 sampling_check =            1
 Phase 1: 
loc(sm) = 0x45853e00

Starting memory sampling
fd_per_tid = 13
measure->nb_threads=1
33333333fd_per_tid = 13
sm = 0x45853e00
stop loc(add)0x45853e00

Memory read sampling results
pc=40293c, @=1159497648, src level=L3 Hit, latency=37
pc=402942, @=140724825488616, src level=L1 Hit, latency=471
pc=40293c, @=1159126264, src level=L3 Hit, latency=42
pc=402942, @=140724825488616, src level=L1 Hit, latency=230
pc=402936, @=897601984, src level=LFB Hit, latency=93
pc=40293c, @=1158511984, src level=L3 Hit, latency=52
pc=402936, @=898388864, src level=LFB Hit, latency=94
pc=40293c, @=1158345968, src level=L3 Hit, latency=53
pc=402942, @=140724825488616, src level=L1 Hit, latency=171
pc=402936, @=899520656, src level=LFB Hit, latency=94
pc=402936, @=899909760, src level=Local RAM Hit, latency=248
pc=402942, @=140724825488616, src level=L1 Hit, latency=156
pc=40293c, @=1158790184, src level=L3 Hit, latency=49
pc=40293c, @=1158826600, src level=L3 Hit, latency=51
pc=402942, @=140724825488616, src level=L1 Hit, latency=136
pc=402942, @=140724825488616, src level=L1 Hit, latency=151
pc=402936, @=902174208, src level=LFB Hit, latency=185
pc=402936, @=902544296, src level=LFB Hit, latency=195
pc=40293c, @=1159381200, src level=L3 Hit, latency=50
pc=402942, @=140724825488616, src level=L1 Hit, latency=221
pc=402936, @=903684848, src level=LFB Hit, latency=66
pc=40293c, @=1159515992, src level=L3 Hit, latency=75
pc=402942, @=140724825488616, src level=L1 Hit, latency=142
pc=402942, @=140724825488616, src level=L1 Hit, latency=140
pc=40293c, @=1158428584, src level=L3 Hit, latency=38
pc=40293c, @=1158785840, src level=L3 Hit, latency=60
pc=402932, @=45161120, src level=LFB Hit, latency=846
pc=402942, @=140724825488616, src level=L1 Hit, latency=128
pc=402942, @=140724825488616, src level=L1 Hit, latency=222
pc=40293c, @=1158951232, src level=L3 Hit, latency=49
